a 어
southland 사우스랜드
southmayd 사우스메이드
southold 사우솔드
southpaw 사우스포
southport 사우스포트
southside 사우스사이드
southville 사우스빌
southwest 사우스웨스트
southwick 사우스윅
soviet 소비에트
space 스페이스
spacey 스페이시
spadats 스파다츠
spade 스페이드
spafford 스패포드
spaghetti 스파게티
spain 스페인
spalding 스팔딩
spalding 스폴딩
spall 스폴
spallanzani 스팔란차니
span 스팬
spandex 스판덱스
spangle 스팽글
spangle 스프랭글
spaniel 스패니얼
spanner 스패너
spare 스페어
spark 스파크
sparker 스파커
sparkman 스파크맨
sparks 스파크스
sparland 스팔랜드
sparring 스파링
sparta 스파르타
sparta 스파타
spartacus 스파르타쿠스
spartanburg 스파턴버그
spartanburg 스파튼버그
sparteine 스파르테인
spats 스패츠
spaulding 스폴딩
spc 에스피시
speaker 스피커
speakerphone 스피커폰
spearfish 스피어피시
spearman 스피어먼
spearmint 스피어민트
special 스페셜
specialist 스페셜리스트
spectrogram 스펙트로그램
spectrograph 스펙트로그래프
spectroheliograph 스펙트로헬리오그래프
spectrometer 스펙트로미터
spectroscope 스펙트로스코프
spectrum 스펙트럼
speculum 스페큘럼
speech 스피치
speed 스피드
speedway 스피드웨이
speedwell 스피드웰
speer 스피어
speke 스피크
spell 스펠
spelling 스펠링
spellings 스펠링스
spemann 슈페만
spencer 스펜서
spencerville 스펜서빌
spener 슈페너
spengler 슈펭글러
spenodon 스페노돈
spenser 스펜서
speranski 스페란스키
spergel 스퍼걸
sperling 스펄링
spermatin 스페르마틴
sperry 스페리
speth 스페스
speusippos 스페우시포스
spherics 스페릭스
spherometer 스페로미터
spheroplast 스페로플라스트
sphingomyelin 스핑고미엘린
sphinx 스핑크스
spica 스피카
spiceland 스파이스랜드
spicer 스파이서
spickard 스피카드
spiegel 스피걸
spielberg 스필버그
spieth 스피스
spike 스파이크
spiker 스파이커
spillertown 스필러타운
spillover 스필오버
spillville 스필빌
spin 스핀
spindle 스핀들
spinel 스피넬
spinet 스피넷
spinner 스피너
spinor 스피너
spinthariscope 스핀새리스코프
spiramycin 스피라마이신
spirillum 스피릴룸
spirit 스피리트
spirit 스피릿
spiro 스파이로
spirochaeta 스피로헤타
spirogyra 스피로지라
spirometry 스파이로미트리
spironolactone 스피로놀락톤
spirulina 스피룰리나
spitball 스핏볼
spitteler 슈피텔러
spitz 스피츠
spivey 스피비
splash 스플래시
splendora 스플렌도라
spline 스플라인
split 스플릿
splitter 스플리터
splogger 스플로거
splunge 스플런지
spock 스폭
spofford 스포퍼드
spohr 슈포어
spoiler 스포일러
spokane 스포캔
spokane 스포케인
sponge 스펀지
sponge 스폰지
sponser 스폰서
sponsor 스폰서
spontini 스폰티니
spool 스풀
spooling 스풀링
spoon 스푼
spooner 스푸너
sporocyst 스포로시스트
sports 스포츠
sportsman 스포츠맨
sporty 스포티
spot 스포트
spot 스폿
spotlight 스포트라이트
spotsylvania 스포칠베이니아
spotsylvania 스폿실베이니아
spottsville 스포츠빌
sprague 스프래그
sprague 스프레이그
spranger 슈프랑거
spray 스프레이
sprayer 스프레이어
spreadsheet 스프레드시트
sprengel 슈프렝겔
sprenger 스프렌저
spring 스프링
springboard 스프링보드
springbok 스프링복
springboro 스프링버러
springbrook 스프링브룩
springdale 스프링데일
springer 스프링어
springfield 스프링필드
springhill 스프링힐
springhills 스프링힐스
springlake 스프링레이크
springport 스프링포트
springs 스프링스
springside 스프링사이드
springsteen 스프링스틴
springtown 스프링타운
springvale 스프링베일
springview 스프링뷰
springville 스프링빌
springwater 스프링워터
springwood 스프링우드
sprinkler 스프링클러
sprint 스프린트
sprinter 스프린터
spronceda 에스프론세다
sprott 스프랏
spruce 스프루스
sps 에스피에스
spuds 스퍼즈
spuit 스퍼이트
spuit 스포이트
spur 스퍼
spurgeon 스퍼전
spy 스파이
spyri 슈피리
spyware 스파이웨어
sqc 에스큐시
squalene 스콸렌
squall 스콜
squamish 스쿼미시
squash 스쿼시
squat 스쾃
squeegee 스퀴지
squeeze 스퀴즈
squib 스퀴브
squire 스콰이어
squirrel 스쿼럴
sram 에스램
sram 에스아르에이엠
srbm 에스아르비엠
srivijaya 스리비자야
sriwijaya 스리위자야
ss 에스에스
ssb 에스에스비
ssbn 에스에스비엔
ssd 에스에스디
ssm 에스에스엠
ssr 에스에스아르
sst 에스에스티
st 에스티
stabile 스태빌
stabilizer 스태빌라이저
stabler 스테이블러
stacey 스테이시
stack 스택
stacker 스태커
stacking 스태킹
stacy 스테이시
stadium 스타디움
staff 스태프
stafford 스태퍼드
staffordshire 스태퍼드셔
stage 스테이지
stagecoach 스테이지코치
stagflation 스태그플레이션
stahl 슈탈
stain 스테인
stainless 스테인레스
stainless 스테인리스
stakes 스테이크스
staley 스테일리
stall 스톨
stallard 스탤러드
stallings 스톨링스
stallo 스탈로
stallone 스탤론
stamford 스탬퍼드
stamina 스태미나
stammler 슈탐러
stamp 스탬프
stamps 스탬스
stan 스탠
stance 스탠스
stand 스탠드
standard 스탠다드
standard 스탠더드
standbar 스탠드바
standing 스탠딩
standish 스탠디쉬
standish 스탠디시
stanfield 스탠필드
stanford 스탠퍼드
stanhope 스탠호프
stanley 스탠리
stanley 스탠리빌
stanley 스텐리
stanleyville 스탠리빌
stano 스테이노
stanton 스탠턴
stantonville 스탠턴빌
stanwood 스탠우드
stanza 스탠자
stapelia 스타펠리아
staple 스테이플
stapler 스테이플러
staples 스테이플스
stapleton 스테이플턴
star 스타
starbuck 스타벅
starcraft 스타그래프트
starcraft 스타크래프트
stardom 스타덤
stark 슈타르크
stark 스타크
starke 스타크
starke 스타키
starkey 스타키
starkeytown 스타키타운
starks 스타크스
starkville 스타크빌
starkweather 스타크웨더
starlight 스타라이트
starling 스탈링
starr 스타
start 스타트
starter 스타터
state 스테이트
staten 스테이튼
statesboro 스테이츠버러
statesboro 스테이츠버로
statesville 스테이츠빌
statham 스테섬
statice 스타티세
station 스테이션
staudinger 슈타우딩거
staudt 슈타우트
staunton 스탠턴
staunton 스톤턴
staunton 스톤튼
staupitz 슈타우피츠
stavanger 스타방게르
stavropol 스트라브로폴
stay 스테이
std 에스티디
stead 스테드
steak 스테이크
stealth 스텔스
steam 스팀
steamboat 스팀보트
steapsin 스테압신
stearin 스테아린
stearns 스턴스
stebbins 스테빈스
stedman 스테드맨
steeds 스티즈
steel 스틸
steele 스틸
steeleville 스틸빌
steelville 스틸빌
steen 스틴
steering 스티어링
stefan 슈테판
stefan 스테판
stefan 스테펀
steffens 스테펀스
steffensen 스테펀슨
stegodon 스테고돈
stegosaurus 스테고사우루스
steichen 스타이컨
steiger 스타이거
steilacoom 스테일라쿰
stein 슈타인
stein 스타인
steinbeck 스타인벡
steinem 스타이넘
steiner 슈타이너
steiner 스타이너
steinheil 슈타인하일
steinman 스타인먼
steinthal 슈타인탈
stella 스텔라
stellite 스텔라이트
stem 스템
stencil 스텐실
stendal 스텐달
stendhal 스탕달
steno 스테노
step 스텝
stephan 슈테판
stephanie 스테퍼니
stephanopoulos 스테퍼노펄러스
stephen 스티븐
stephenie 스테퍼니
stephens 스티븐스
stephenson 스티븐슨
stephentown 스티븐타운
stephenville 스티븐빌
steppe 스텝
steptoe 스텝토
steradian 스테라디안
stereo 스테레오
sterling 스털링
stern 슈테른
stern 스턴
sternbergia 스테른베르기아
sterne 스턴
steroid 스테로이드
sterol 스테롤
stet 스테트
stet 스텟
stetson 스테트슨
stettin 스테틴
steuben 스투번
steuben 스튜벤
steubenville 슈토이벤빌
steve 스티브
steven 스티븐
stevenage 스테버니지
stevens 스티븐스
stevensburg 스티븐스버그
stevenson 스티븐슨
stevensville 스티븐스빌
stevinson 스티빈슨
steviocide 스테비오사이드
stew 스튜
steward 스튜어드
stewardess 스튜어디스
stewardson 스튜어드슨
stewart 스튜어트
stewartsville 스튜어츠빌
stewartville 스튜어트빌
steyer 스타이어
stick 스틱
sticker 스티커
stickney 스티크니
stieglitz 스티글리츠
stifter 슈티프터
stigler 스티클러
stikine 스티킨
stilb 스틸브
stilbite 스틸바이트
stiles 스타일스
stiles 스틸스
stilesville 스타일즈빌
still 스틸
stillmore 스틸모어
stillwater 스틸워터
stillwell 스틸웰
stilwell 스틸웰
stimson 스팀슨
sting 스팅
stinger 스팅어
stinnett 스틴네트
stinson 스틴슨
stirling 스털링
stirner 슈티르너
stitch 스티치
stitzer 스티쳐
stochastic 스토캐스틱
stock 스톡
stockbridge 스톡브리지
stockdaily 스탁데일리
stockdale 스톡데일
stockholm 스톡홀름
stocking 스타킹
stockport 스톡포트
stocks 스톡
stockton 스탁턴
stockton 스톡턴
stockville 스톡빌
stockwell 스톡웰
stoddard 스토다드
stoddard 스토더드
stoeckel 스토클
stoicism 스토이시즘
stoke 스토크
stoker 스토커
stokes 스토크스
stokes 스톡스
stokesia 스토케시아
stokesville 스토크스빌
stokowski 스토코프스키
stol 스톨
stol 에스톨
stole 스톨
stoller 스톨러
stone 스톤
stoneburg 스톤버그
stonefort 스톤퍼트
stoneham 스토넘
stonehenge 스톤헨지
stoneville 스톤빌
stonewall 스톤월
stonewood 스톤우드
stoney 스토니
stonington 스토닝턴
stony 스토니
stool 스툴
stop 스톱
stopover 스탑오버
stoppage 스토피지
stoppard 스토파드
stoppelman 스토플먼
stopper 스토퍼
stopwatch 스톱워치
storage 스토리지
store 스토어
storm 슈토름
storm 스톰
story 스토리
storyboard 스토리보드
storyville 스토리빌
stoss 슈토스
stoughton 스토턴
stout 스타우트
stovall 스토벌
stove 스토브
stover 스토버
stow 스토
stow 스토우
stowe 스토
stowe 스토위
strabane 스트러밴
strabon 스트라본
strachey 스트레이치
stradivari 스트라디바리
strafford 스트래퍼드
strafford 스트래포드
straight 스트레이트
strain 스트레인
strandquist 스탠드퀴스트
strang 스트랭
strangeness 스트레인지니스
stranraer 스트랜라
strap 스트랩
strasburg 슈트라스부르크
strasburg 스트라스버그
strasburg 스트래즈버그
strasburger 슈트라스부르거
strassmann 슈트라스만
stratford 스트랫퍼드
stratham 스트래샘
strathclyde 스트래스클라이드
strathcona 스트래스코나
stratovision 스트래토비전
stratton 스트래턴
straub 스트라우브
straughn 스트론
strauss 슈트라우스
straw 스트로
strawberry 스트로베리
strawn 스트론
strayhorn 스트레이혼
streaking 스트리킹
stream 스트림
streaming 스트리밍
streator 스트리터
streb 스트렙
street 스트리트
streeter 스트리터
streetman 스트리트먼
streetsboro 스트리츠버러
streptomyces 스트렙토미세스
streptomycin 스트렙토마이신
streptovaricin 스트렙토바리신
stresemann 슈트레제만
stress 스트레스
stretch 스트레치
stretching 스트레칭
strickland 스트릭랜드
stricom 스트리콤
stride 스트라이드
strike 스트라이크
striker 스트라이커
strindberg 스트린드베리
string 스트링
stringer 스트링어
strip 스트립
stripe 스트라이프
striplight 스트립라이트
stripper 스트리퍼
strobila 스트로빌라
stroboscope 스트로보스코프
stroh 스트로
stroke 스트로크
stroma 스트로마
stroman 스트로먼
stromboli 스트롬볼리
stromeyerite 스트로마이어라이트
stromsburg 스트롬즈버그
strong 스트롱
stronghold 스트롱홀드
stronghurst 스트롱허스트
strongsville 스트롱스빌
strongsville 스트롱즈빌
strontium 스트론튬
strop 스트롭
strophanthin 스트로판틴
strophanthus 스트로판투스
strophulus 스트로풀루스
stroud 스트라우드
stroudsburg 스트라우즈버그
struble 스트루블
strum 스트럼
struthers 스트러서스
strychnine 스트리크닌
stuart 스튜어트
stub 스텁
stuckey 스터키
stuczynski 스투진스키
studio 스튜디오
study 스터디
stuff 스텁
stull 스털
stump 스텀프
stumpf 슈툼프
stumptown 스텀프타운
stunt 스턴트
sturbridge 스터브리지
sturdivant 스터디번트
sturgeon 스터전
sturgis 스터지스
stuttgart 슈트트가르트
stuttgart 스터트가트
stuyvesant 스튜이버선트
style 스타일
stylebook 스타일북
styleshare 스타일쉐어
styling 스타일링
stylist 스타일리스트
stylus 스타일러스
stymie 스타이미
styrene 스티렌
styrofoam 스티로폼
styrol 스티롤
subdominant 서브도미넌트
subduction 서브덕션
suberin 수베린
subiaco 수비아코
sublett 서블렛
sublette 서블렛
submenu 서브메뉴
submissile 서브미사일
subnet 서브넷
subprogram 서브프로그램
subroutine 서브루틴
subscale 서브스케일
subschema 서브스키마
substance 서브스턴스
substation 서브스테이션
subsystem 서브시스템
subtitle 서브타이틀
subway 서브웨이
success 석세스
succinylcholine 숙시닐콜린
suches 서치스
sucker 서커
sucrose 수크로오스
sudan 수단
sudatta 수닷타
sudbury 서드베리
sudermann 주더만
sudith 수디스
sudley 서들리
sue 쉬
suede 스웨이드
suess 쥐스
suetonius 수에토니우스
suffield 서프필드
suffolk 서퍽
sufi 수피
sufism 수피즘
sugarloaf 슈가로프
sugartown 슈가타운
sugden 석든
suit 수트
suit 슈트
suite 스위트
sukhumi 수후미
sulawesi 술라웨시
sulfadiazine 술파다이아진
sulfaguanidine 술파구아니딘
sulfametizole 술파메티졸
sulfamine 술파민
sulfanilamide 술파닐아미드
sulfapyridine 술파피리딘
sulfathiazole 술파다이어졸
sulfisomidine 술피소미딘
sulfisoxazole 술피속사졸
sulfonal 술포날
sulfonamide 술폰아미드
sulfone 술폰
sulfonyl 술포닐
sulindac 술린닥
sullivan 설리번
sully 설리
sulphur 설퍼
sulphyrine 설피린
sulston 설스턴
sultan 술탄
sulvanite 설바나이트
sum 에스유엠
sumac 수마크
sumarokov 수마로코프
sumas 수마스
sumatra 수마트라
sumer 수메르
sumithion 수미티온
summer 서머
summerdale 서머데일
summerfield 서머필드
summerfield 섬머필드
summerford 섬머포드
summers 서머스
summerset 서머싯
summersville 서머스빌
summersville 서머즈빌
summersville 섬머스빌
summertown 서머타운
summerville 서머빌
summerville 섬머빌
summit 서미트
summit 서밋
summitville 서밋빌
summum 섬멈
sumner 섬너
sumter 섬터
sumterville 섬터빌
sun 선
sunapee 서나피
sunbelt 선벨트
sunbright 선브라이트
sunburst 선버스트
sunbury 선버리
suncadia 선카디아
suncrest 선크레스트
sundance 선댄스
sunderland 선덜랜드
sundown 선다운
sundress 선드레스
sunfish 선피쉬
sunflower 선플라워
sunglass 선글라스
sunglasses 선글라스
sungwoo 성우
sunman 선맨
sunnydale 서니데일
sunnyside 서니사이드
sunnyvale 서니베일
sunray 선레이
sunrise 선라이즈
sunriver 선리버
sunroof 선루프
sunroom 선룸
sunset 선셋
sunshade 선셰이드
suntan 선탠
suntex 선텍스
super 슈퍼
superbowl 슈퍼볼
supercomputer 슈퍼컴퓨터
superego 슈퍼에고
superheater 슈퍼히터
superimpose 슈퍼임포즈
superior 슈피리어
superman 슈퍼맨
superman 슈펴맨
supermarket 슈퍼마켓
superrealism 슈퍼리얼리즘
superscalar 슈퍼스칼라
superscope 슈퍼스코프
supersession 슈퍼세션
superspecial 슈퍼스페설
superstar 슈퍼스타
superstation 슈퍼스테이션
supertanker 슈퍼탱커
supervielle 쉬페르비엘
supervision 슈퍼비전
supervisor 슈퍼바이저
supply 서플라이
supporter 서포터
surabaya 수라바야
surfing 서핑
surfside 서프사이드
surge 서지
surging 서징
surgoinsville 서고인스빌
surikov 수리코프
surprise 서프라이즈
surrency 서런시
surrey 서리
surround 서라운드
surry 서리
surveyor 서베이어
survival 서바이벌
surya 수리아
susan 수전
susannah 수재나
suslov 수슬로프
suspender 서스펜더
suspense 서스펜스
suspension 서스펜션
sussex 서식스
sutherland 서덜랜드
sutphen 섯븐
sutter 서터
suttle 수틀
suttner 주트너
sutton 서턴
suwanee 스와니
suwannee 스와니
suzannah 수재나
suzanne 수잰
suzie 수지
suzy 수지
svedberg 스베드베리
svensson 스벤손
sverdrup 스베르드루프
svevo 스베보
swaging 스웨이징
swainsboro 스웨인스버로
swainsboro 스웨인즈버러
swampscott 스왐스컷
swan 스완
swan 스원
swanepoel 스와니폴
swank 스왱크
swansboro 스완스버러
swanscombe 스완즈컴
swansea 스완지
swansea 스원시
swanton 스완턴
swanwick 스완익
swanzey 스완지
sway 스웨이
swaying 스웨잉
swayze 스웨이지
swayzee 스웨이지
swayzee 스위지
sweater 스웨터
sweden 스웨덴
sweden 스위든
swedesburg 스웨디스버그
sweeden 스위든
sweeny 스위니
sweeper 스위퍼
sweet 스위트
sweet 스위트워터
sweetser 스위처
sweetwater 스위트워터
swenson 스웬슨
swift 스위프트
swim 스윔
swimming 스위밍
swinburne 스윈번
swindon 스윈던
swing 스윙
swire 스와이어
swisher 스위셔
swiss 스위스
swisshome 스위스홈
switch 스위치
switchback 스위치백
switchboard 스위치보드
switzer 스위쳐
switzerland 스위슬랜드
switzerland 스위철랜드
swoln 스월른
swordfish 소드피시
swordtail 소드테일
sybel 지벨
sycamore 시카모어
sycamore 시커모어
sydenham 시드넘
sydney 시드니
syjet 사이젯
sykes 사이크스
sykesville 사이크스빌
sykora 사이코라
sylacauga 실라코가
sylva 실바
sylvain 실뱅
sylvan 실번
sylvania 실베니아
sylvania 실베이니아
sylvester 실베스터
sylvia 실비아
symbol 심벌
symbolism 심벌리즘
symco 심코
symington 사이밍턴
symmer 시머
symmetry 시머트리
symonds 사이먼즈
symonds 시먼즈
symons 시먼스
symphony 심포니
symposium 심포지엄
symposium 심포지움
synagogue 시나고그
synagogue 시너고그
synapse 시냅스
sync 싱크
synchro 싱크로
synchronize 싱크로나이즈
synchroscope 싱크로스코프
synchrotron 싱크로트론
syncopation 싱커페이션
syncretism 싱크리티즘
syndicate 신디케이트
syndrome 신드롬
synergy 시너지
synge 싱
syntagma 신태그마
synthesizer 신시사이저
syracuse 시라큐스
syracuse 시러큐스
syre 사이어
syria 시리아
syring 시링
syrinx 시링크스
syrup 시럽
sysop 시솝
sysop 운영자
system 시스템
szady 새디
szczurowski 슈추로프스키
szymanowski 시마노프스키
szymanski 시맨스키
t 티
tab 태브
tabari 타바리
tabb 태브
tabby 태비
tabernacle 타버나클
tablature 태블러처
table 테이블
tablecloth 테이블클로스
tablet 태블릿
tabloid 타블로이드
taboo 터부
tac 티에이시
tacan 타칸
tacc 티에이시시
tachograph 태코그래프
tachometer 태코미터
tachyon 타키온
tacita 터시타
tacitus 타키투스
tacking 태킹
tackle 태클
tacoma 터코마
taconite 타코나이트
tacos 타코스
tadoussac 타두삭
taejoon 태준
tael 테일
taffeta 태피터
taft 타프트
taft 태프트
tag 태그
taggart 태가트
taglioni 탈리오니
tagore 타고르
tague 태규
tahlequah 탈레콰
tahoe 타호
tahoka 태호카
tahr 타르
taichung 타이중
taif 타이프
taihape 타이하페
taillon 타이언
taine 텐
tainter 테인터
taipei 타이뻬이
taipei 타이페이
tairia 터라이아
tairov 타이로프
taitanium 타이타늄
tajikistan 타지키스탄
takaka 타카카
takamatsu 다카마쓰
takin 타킨
talala 탈랄라
talas 탈라스
talbot 탤버트
talbot 탤벗
talbotton 탤버턴
talc 탤크
talcott 탤컷
talcum 탤컴
taleban 탈레반
talent 탤런트
talk 톡
talkie 토키
talladega 탈레디가
talladega 탤러디가
tallahassee 탤러해시
tallapoosa 탤러푸사
tallassee 탤러시
tallent 탤런트
talleyrand 탈레랑
tallinn 탈린
tallis 탤리스
tallmadge 톨마지
tallulah 탈룰라
talma 탈마
talmadge 탈매지
talmage 탤메이즈
talmo 탈모
talmo 탤모
talmud 탈무드
taloga 탈로가
talos 탈로스
talus 테일러스
tama 타마
tamaha 타마하
tamara 태머라
tamarac 타마락
tamarack 타마락
tamarin 타마린
tamarind 타마린드
tamayo 타마요
tambo 탬보
tambourine 탬버린
tamiflu 타미플루
tamina 타미나
tamms 탬스
tammuz 탐무즈
tammy 태미
tamora 타모라
tamoxifen 타목시펜
tampa 탬파
tampico 탐피코
tampico 탬피코
tams 탬스
tamworth 탬워스
tan 탄카이원
tanagra 타나그라
tanana 타나나
tandem 탠덤
taneytown 태니타운
tangalooma 탕갈루마
tangelo 탄젤로
tangent 탄젠트
tangent 탠전트
tangerine 탄제린
tangier 탕헤르
tango 탱고
tangut 탕구트
taniele 터닐
tank 탱크
tanker 탱커
tanner 태너
tanner 테너
tannery 태너리
tannin 타닌
tantalite 탄탈라이트
tantalos 탄탈로스
tanya 타니아
tanya 태냐
tanzania 탄자니아
tao 타우
taopi 타오피
taos 타오스
tap 탭
tape 테이프
taper 테이퍼
tapestry 태피스트리
taping 테이핑
tappahannock 태퍼해녹
tappen 태픈
tappet 태핏
tar 타르
tara 타라
taranaki 타라나키
tarantino 타란티노
tarantism 태런티즘
tarantula 타란툴라
tarbagan 타르바간
tarbes 타르브
tarboro 타버러
tarde 타르드
target 타깃
targeting 타기팅
targett 타깃
tarkington 타킹턴
tarkio 타키오
tarnee 타니
taro 타로
tarp 타프
tarragon 타라곤
tarrant 타런트
tarrant 태런트
tarrytown 태리타운
tarsus 타르수스
tartaglia 타르탈리아
tartan 타탄
tartaros 타르타로스
tartini 타르티니
tartuffe 타르튀프
tarullo 터룰로
tarzan 타잔
tasha 태샤
tashkent 타쉬켄트
tasi 타시
task 태스크
tasman 태즈먼
tasmania 태즈메이니아
tasso 타소
taswell 태즈월
tat 티에이티
tate 테이트
tatlinism 타틀리니즘
tatting 태팅
tattnall 태트널
tatum 테이텀
tatums 테이텀스
tauler 타울러
taunton 톤턴
taupo 타우포
tauranga 타우랑가
taurine 타우린
taussig 타우시그
tavares 타바레스
tavares 터배리스
tawau 타와우
tawawa 타와와
tawney 토니
taxi 택시
taximeter 택시미터
taxis 택시스
taxon 택손
taycheedah 테이치다
tayloe 테일로
taylor 테일러
taylorsville 테일러스빌
taylorsville 테일러즈빌
taylorville 테일러빌
tayside 테이사이드
tayyiba 타이바
tazewell 태즈웰
tazwell 태즈웰
tbilisi 트빌리시
tc 티시
tcdd 티시디디
tcp 티시피
tea 티
teachey 티치
teagarden 티가든
teague 티그
teak 티크
team 팀
teamwork 팀워크
teasdale 티스데일
teasdale 티즈데일
teaspoon 티스푼
teatime 티타임
teays 티이스
tebbetts 테베츠
tebow 티보
tecate 테카테
tech 테크
technetium 테크네튬
technetron 테크네트론
technic 테크닉
technicolor 테크니컬러
technirama 테크니라마
technocracy 테크노크라시
technocrat 테크노크라트
technomist 테크노미스트
technopolis 테크노폴리스
technosound 테크노사운드
technostress 테크노스트레스
technostructure 테크노스트럭처
techron 테크론
tectonics 텍토닉스
tectonite 텍토나이트
tectonometer 텍토노미터
tecumseh 테컴시
ted 테드
teddy 테디
tedrow 테드로
tee 티
teeming 티밍
teer 티어
tees 티스
teeterville 티터빌
teflon 테플론
tefnut 테프누트
tehachapi 테하차피
tehama 테하마
teheran 테헤란
teigen 티건
teiresias 테이레시아스
teixeira 테세이라
tektite 텍타이트
telebanking 텔레뱅킹
telecommunication 텔레커뮤니케이션
telecommuting 텔레커뮤팅
telefax 텔레팩스
telefission 텔레피션
telegony 텔레고니
telegram 텔레그램
telemachos 텔레마코스
telemann 텔레만
telemark 텔레마크
telemarketing 텔레마케팅
telematics 텔레매틱스
telemedicine 텔레메디신
telemer 텔레머
telemeter 텔레미터
telemetering 텔레미터링
telepathy 텔레파시
telephone 텔레폰
telepix 텔레픽스
teleport 텔레포트
teleportation 텔레포테이션
teleprinter 텔레프린터
telesio 텔레시오
teletex 텔레텍스
teletext 텔레텍스트
teletype 텔레타이프
teletypewriter 텔레타이프라이터
television 텔레비전
television 텔레비죤
telewriter 텔레라이터
telex 텔렉스
telfair 텔페어
telford 텔퍼드
telidon 텔리돈
tell 텔
teller 텔러
telluride 텔류라이드
tellus 텔루스
telnet 텔넷
telogen 텔로젠
telop 텔롭
telpher 텔퍼
temecula 터메큘라
temecula 테메큘라
tempe 템페
tempe 템피
temperanceville 템퍼런스빌
tempering 템퍼링
tempest 템페스트
template 템플릿
temple 템플
templeton 템플턴
templeville 탬플빌
ten 텐
tenderloin 텐더로인
tendon 텐돈
tenet 테닛
teniers 테니르스
tenino 테니노
tennant 테넌트
tennessee 테네시
tenney 테니
tennille 테닐
tennis 테니스
tennyson 테니슨
tenor 테너
tenrec 텐렉
tensaw 텐소
tense 텐스
tensed 텐스트
tension 텐션
tensor 텐서
tensorflow 텐서플로우
tenstrike 텐스트라이크
tent 텐트
tephra 테프라
tephrite 테프라이트
tephrochronology 테프로크로놀로지
tepp 텝
terabit 테라비트
terabyte 테라바이트
teraphim 테러핌
terbium 테르븀
terbutaline 터부탈린
tercom 테르콤
teremp 테렘프
teresa 테리사
teresita 테레시타
terin 테린
terman 터먼
terminal 터미널
termo 터모
terpene 테르펜
terpineol 테르피네올
terpinolene 테르피놀렌
terrace 테라스
terramycin 테라마이신
terrarium 테라리엄
terrell 테럴
terrence 테런스
terri 테리
terrier 테리어
terril 테릴
terror 테러
terrorism 테러리즘
terrorist 테러리스트
terry 테리
tertullianus 테르툴리아누스
terylene 테릴렌
tesla 테슬라
teslaunread 테슬라언리드
tess 테스
tessa 테사
test 테스트
tester 테스터
testosterone 테스토스테론
tetanolysin 테타놀리진
tetanospasmin 테타노스파즈민
tetany 테타니
tethering 테더링
tethys 테티스
teton 티턴
tetrac 테트락
tetracaine 테트라카인
tetrachloroethylene 테트라클로로에틸렌
tetrachloromethane 테트라클로로메탄
tetrachord 테트라코드
tetracosane 테트라코산
tetracycline 테트라시클린
tetradymite 테트라디마이트
tetraethyl 테트라에틸
tetrahymena 테트라히메나
tetramethyl 테트라메틸
tetrapod 테트라포드
tetrazene 테트라젠
tetris 테트리스
tetrodotoxin 테트로도톡신
tetrose 테트로오스
tetryl 테트릴
tewksbury 턱스베리
texarkana 텍사카나
texarkana 텍사캐나
texas 텍사스
texico 텍시코
texon 텍슨
text 텍스트
textile 텍스타일
thackeray 새커리
thackerville 새커빌
thackery 새커리
thad 새드
thaddaeus 다대오
thais 타이스
thales 탈레스
thalia 탈리아
thalidomide 탈리도마이드
thames 템스
thanatos 타나토스
tharaud 타로
that 뎃
thatcher 태처
thaxton 색스턴
thaxton 택스턴
thayer 세이어
thayne 새인
the 더
theater 시어터
theatricalism 시어트리컬리즘
theba 테바
thebaine 테바인
theism 시이즘
thelma 셀마
themis 테미스
themistocles 테미스토클레스
theobromine 테오브로민
theocritos 테오크리토스
theodolite 세오돌라이트
theodora 테오도라
theodore 시어도어
theodoric 테오도리크
theodoricus 테오도리쿠스
theodorus 테오도루스
theodosius 테오도시우스
theognis 테오그니스
theophilline 시어필린
theophrastos 테오프라스토스
theophylline 테오필린
therblig 서블리그
theremin 테레민
theresa 테레사
thermal 더말
thermal 서멀
thermalito 더말리토
thermistor 서미스터
thermite 테르밋
thermoconcrete 서모콘크리트
thermography 서모그래피
thermopolis 서모폴리스
thermostat 서모스탯
thesaurus 시소러스
these 디즈
theseion 테세이온
theseus 테세우스
thespis 테스피스
thessaloniki 테살로니키
thewlis 슐리스
thi 티에이치아이
thiamine 티아민
thiazosulfone 티아조술폰
thibaud 티보
thibaudet 티보데
thibaut 티보
thibodaux 티보도
thicket 티켓
thiel 틸
thierry 티에리
thiers 티에르
thimerosal 티메로살
think 씽크
thinner 시너
thioacetasone 티오아세타손
thioalcohol 티오알코올
thiocarbamid 티오카르바미드
thiocyan 티오시안
thioether 티오에테르
thioindigo 티오인디고
thiokol 티오콜
thionaphthen 티오나프텐
thionville 티옹빌
thiophen 티오펜
thiophenol 티오페놀
thiotepa 티오테파
thiouracil 티오우라실
thira 티라
third 서드
thirty 서티
this 디스
thixotropy 틱소트로피
tholeiite 톨레이아이트
thom 톰
thoma 토마
thomas 토마
thomas 토마스
thomas 토머스
thomasius 토마지우스
thomaston 토머스턴
thomastown 토마스타운
thomasville 토마스빌
thomasville 토머스빌
thomism 토미즘
thompson 톰슨
thompson 톰프슨
thompsons 톰프슨스
thomsen 톰센
thomson 톰슨
thor 소어
thor 토르
thoreau 소로
thorez 토레즈
thorite 토라이트
thorium 토륨
thornapple 손애플
thornberry 손베리
thornburg 손버그
thorndale 손데일
thorndike 손다이크
thorndon 손던
thornfield 손필드
